,neighborhood,type of region,code,population (count),age 15-25 (%),age 25-45 (%),age 45-65 (%),age >65 (%),migrants (%),Western migrants (%),non-Western migrants (%),education low (%),education secondary (%),education high (%),property value (x1000 euro),income per inhabitant (x1000 euro),40% with lowest income (%),20% with highest income (%)
0,Amsterdam,Gemeente  ,GM0363    ,872757,12.45,36.4,24.1,12.71,55.57,19.5,36.07,,23.66,38.84,415.0,32.4,39.7,24.6
1,Burgwallen-Oude Zijde,Wijk      ,WK036300  ,4465,15.57,49.05,21.05,9.52,51.18,33.82,17.36,10.08,25.98,56.89,469.0,32.8,40.5,22.5
2,Kop Zeedijk,Buurt     ,BU03630000,1100,11.36,52.27,25.0,6.82,54.09,35.91,18.18,3.64,31.82,60.91,423.0,37.0,33.0,27.7
3,Oude Kerk e.o.,Buurt     ,BU03630001,730,17.81,50.68,17.81,9.59,51.37,34.25,17.12,27.4,20.55,39.73,431.0,31.5,43.3,19.2
4,Burgwallen Oost,Buurt     ,BU03630002,1615,15.79,48.3,19.2,10.84,53.25,33.44,19.81,9.91,27.24,55.11,462.0,29.2,43.7,18.3
5,Nes e.o.,Buurt     ,BU03630003,350,15.71,51.43,20.0,7.14,50.0,37.14,12.86,5.71,22.86,65.71,617.0,37.1,35.4,30.6
6,BG-terrein e.o.,Buurt     ,BU03630004,675,18.52,42.22,21.48,11.11,41.48,28.15,13.33,10.37,17.78,65.19,537.0,33.8,44.3,23.8
7,Burgwallen-Nieuwe Zijde,Wijk      ,WK036301  ,4130,14.89,53.63,18.89,7.99,55.93,38.14,17.8,7.51,26.88,56.66,480.0,38.0,33.7,27.9
8,Stationsplein e.o.,Buurt     ,BU03630100,0,,,,,,,,,,,,,,
9,Hemelrijk,Buurt     ,BU03630101,575,14.78,54.78,20.0,6.96,52.17,37.39,14.78,6.96,26.09,57.39,441.0,39.3,31.4,26.8
10,Nieuwendijk Noord,Buurt     ,BU03630102,460,17.39,55.43,20.65,4.35,64.13,42.39,21.74,15.22,26.09,50.0,475.0,35.8,35.2,26.7
11,Spuistraat Noord,Buurt     ,BU03630103,825,13.33,54.55,19.39,8.48,54.55,38.18,16.36,4.85,35.15,50.91,480.0,37.1,35.1,27.8
12,Nieuwe Kerk e.o.,Buurt     ,BU03630104,820,15.85,56.1,16.46,5.49,58.54,37.2,21.34,9.76,24.39,54.88,466.0,36.0,32.9,25.6
13,Spuistraat Zuid,Buurt     ,BU03630105,725,12.41,51.03,21.38,8.97,55.17,39.31,15.86,5.52,26.21,60.69,475.0,41.6,33.1,31.8
14,Begijnhofbuurt,Buurt     ,BU03630106,415,12.05,49.4,19.28,16.87,51.81,33.73,18.07,4.82,19.28,69.88,488.0,34.5,36.1,23.1
15,Kalverdriehoek,Buurt     ,BU03630107,310,22.58,53.23,14.52,6.45,58.06,40.32,17.74,6.45,35.48,51.61,,43.1,32.1,35.9
16,Grachtengordel-West,Wijk      ,WK036302  ,6435,13.52,35.2,27.12,17.09,46.0,34.81,11.19,22.53,13.21,50.35,818.0,62.6,30.7,40.5
17,Langestraat e.o.,Buurt     ,BU03630200,1870,10.43,31.82,27.27,20.86,41.71,32.89,8.82,12.3,16.04,55.61,814.0,53.6,31.5,39.9
18,Leliegracht e.o.,Buurt     ,BU03630201,1825,19.73,34.25,24.11,14.79,50.14,36.44,13.7,12.05,19.18,57.53,825.0,64.3,30.7,40.5
19,Felix Meritisbuurt,Buurt     ,BU03630202,2055,10.71,38.44,29.44,15.33,47.45,36.25,11.19,3.89,13.63,68.61,782.0,68.4,30.0,40.5
20,Leidsegracht Noord,Buurt     ,BU03630203,685,12.41,37.23,27.01,17.52,43.8,32.12,11.68,59.85,5.84,18.98,927.0,66.3,30.5,42.4
21,Grachtengordel-Zuid,Wijk      ,WK036303  ,5435,13.25,38.45,25.11,14.72,46.55,33.12,13.43,7.36,19.69,58.69,813.0,62.9,30.8,39.1
22,Spiegelbuurt,Buurt     ,BU03630300,820,9.76,43.29,23.78,12.8,54.27,37.2,17.07,10.98,17.07,57.32,829.0,55.5,25.9,43.3
23,Gouden Bocht,Buurt     ,BU03630301,145,17.24,34.48,24.14,17.24,44.83,37.93,6.9,34.48,13.79,34.48,993.0,66.8,25.4,43.0
24,Van Loonbuurt,Buurt     ,BU03630302,1415,13.43,32.51,27.56,18.02,38.87,28.98,9.89,7.07,19.08,58.66,925.0,56.8,32.2,38.8
25,Amstelveldbuurt,Buurt     ,BU03630303,1515,13.53,30.36,29.37,16.5,39.6,27.39,12.21,5.94,19.8,60.07,826.0,,31.2,40.4
26,Rembrandtpleinbuurt,Buurt     ,BU03630304,490,11.22,59.18,17.35,8.16,62.24,38.78,23.47,4.08,20.41,67.35,593.0,51.3,25.1,37.5
27,Reguliersbuurt,Buurt     ,BU03630305,390,23.08,57.69,12.82,2.56,67.95,46.15,21.79,,,,524.0,33.0,42.6,25.8
28,Leidsegracht Zuid,Buurt     ,BU03630306,660,11.36,37.12,26.52,17.42,46.21,37.88,8.33,4.55,18.18,60.61,827.0,51.7,31.0,40.9
29,Nieuwmarkt/Lastage,Wijk      ,WK036304  ,9710,11.28,34.14,28.37,18.33,43.87,28.17,15.71,8.55,22.66,54.07,494.0,38.8,36.5,29.3
30,Oosterdokseiland,Buurt     ,BU03630400,480,5.21,43.75,26.04,10.42,51.04,26.04,25.0,8.33,18.75,56.25,654.0,57.7,23.7,45.5
31,Scheepvaarthuisbuurt,Buurt     ,BU03630401,740,16.89,39.19,22.3,14.19,38.51,31.08,7.43,5.41,22.97,56.76,653.0,37.5,32.2,29.2
32,Rapenburg,Buurt     ,BU03630402,1005,20.9,36.82,23.88,8.96,51.74,33.33,18.41,8.96,24.88,52.74,,35.5,37.5,31.7
33,Lastage,Buurt     ,BU03630403,1090,11.01,38.07,28.44,15.14,38.99,27.06,11.93,2.75,19.27,65.14,479.0,40.2,35.0,32.4
34,Nieuwmarkt,Buurt     ,BU03630404,1605,8.41,25.55,32.4,26.17,38.94,24.3,14.64,12.46,26.79,42.99,435.0,30.1,44.1,20.7
35,Uilenburg,Buurt     ,BU03630405,1225,9.39,37.55,29.8,16.33,49.39,28.98,20.41,8.98,22.86,56.33,488.0,45.8,33.5,34.8
36,Valkenburg,Buurt     ,BU03630406,1200,9.58,31.67,27.5,22.5,45.83,30.0,15.83,5.83,17.5,55.83,471.0,39.8,35.7,31.5
37,Zuiderkerkbuurt,Buurt     ,BU03630407,1495,10.03,32.11,31.77,21.4,40.8,26.76,14.05,11.37,25.42,52.17,518.0,38.6,38.6,26.5
38,Waterloopleinbuurt,Buurt     ,BU03630408,865,11.56,33.53,27.75,19.08,45.66,28.32,17.34,10.4,23.12,53.18,466.0,36.6,35.1,24.3
39,Haarlemmerbuurt,Wijk      ,WK036305  ,9275,8.79,33.75,29.92,17.52,43.29,25.12,18.17,13.37,18.98,51.32,526.0,38.3,36.0,29.8
40,Westerdokseiland,Buurt     ,BU03630500,1880,7.18,29.26,30.05,19.95,46.54,21.54,25.0,14.89,14.89,48.4,690.0,45.6,31.6,41.1
41,Haarlemmerbuurt Oost,Buurt     ,BU03630501,1490,10.74,36.58,28.52,16.44,41.28,27.18,14.09,10.07,20.13,57.72,518.0,36.9,34.9,29.6
42,Haarlemmerbuurt West,Buurt     ,BU03630502,2465,9.74,34.89,29.41,17.04,44.83,26.57,18.26,17.85,23.94,41.78,484.0,36.7,38.0,27.5
43,Westelijke eilanden,Buurt     ,BU03630503,2930,8.53,31.74,31.4,17.92,40.27,24.74,15.53,10.58,16.72,56.31,517.0,36.3,37.1,26.7
44,Planciusbuurt Noord,Buurt     ,BU03630505,350,5.71,54.29,24.29,10.0,50.0,31.43,18.57,8.57,20.0,60.0,331.0,32.7,36.4,22.7
45,Planciusbuurt Zuid,Buurt     ,BU03630506,165,6.06,39.39,33.33,18.18,42.42,21.21,21.21,12.12,30.3,48.48,329.0,34.6,45.7,11.3
46,Jordaan,Wijk      ,WK036306  ,19400,9.74,37.81,27.81,16.86,42.78,28.12,14.66,8.81,20.26,56.91,466.0,38.7,37.6,27.3
47,Driehoekbuurt,Buurt     ,BU03630600,2735,8.78,41.86,26.69,15.17,41.32,28.15,13.16,8.41,16.45,62.16,427.0,39.0,38.1,28.2
48,Bloemgrachtbuurt,Buurt     ,BU03630602,2945,10.36,36.67,26.99,16.64,42.95,30.22,12.73,6.79,17.66,59.76,529.0,41.6,33.8,31.8
49,Marnixbuurt Noord,Buurt     ,BU03630603,1430,9.44,36.36,28.67,16.78,46.15,24.83,21.33,9.09,27.97,48.95,389.0,31.8,41.8,21.5
50,Zaagpoortbuurt,Buurt     ,BU03630604,965,12.95,53.37,21.24,7.77,54.92,30.57,24.35,12.44,27.98,51.81,302.0,30.7,41.5,18.4
51,Marnixbuurt Midden,Buurt     ,BU03630605,195,10.26,61.54,15.38,5.13,48.72,28.21,20.51,10.26,20.51,66.67,502.0,39.0,36.1,32.5
52,Elandsgrachtbuurt,Buurt     ,BU03630606,4325,9.71,37.69,27.75,17.11,44.39,29.83,14.57,7.17,21.04,57.57,477.0,39.8,37.8,28.1
53,Passeerdersgrachtbuurt,Buurt     ,BU03630607,860,9.3,36.63,27.91,19.77,41.86,28.49,13.37,8.14,13.95,67.44,579.0,45.6,36.8,31.6
54,Groenmarktkadebuurt,Buurt     ,BU03630608,245,18.37,59.18,12.24,6.12,53.06,34.69,18.37,8.16,36.73,53.06,453.0,43.9,27.4,34.4
55,Marnixbuurt Zuid,Buurt     ,BU03630609,675,4.44,42.96,20.0,28.89,44.44,28.15,16.3,4.44,10.37,56.3,423.0,41.5,30.7,28.9
56,Anjeliersbuurt Noord,Buurt     ,BU03630610,2085,11.27,30.94,31.18,17.75,36.45,25.18,11.27,12.95,23.02,49.88,514.0,40.5,39.0,26.1
57,Anjeliersbuurt Zuid,Buurt     ,BU03630611,2935,8.86,31.86,33.05,18.57,38.84,25.55,13.29,11.58,22.49,52.47,468.0,35.1,39.1,25.3
58,De Weteringschans,Wijk      ,WK036307  ,7295,11.93,41.54,23.99,13.09,45.44,32.35,13.09,5.89,20.42,60.18,609.0,51.1,30.3,37.7
59,Leidsebuurt Noordwest,Buurt     ,BU03630700,260,15.38,51.92,23.08,7.69,53.85,36.54,17.31,3.85,15.38,76.92,509.0,39.5,33.8,31.2
60,Leidsebuurt Zuidwest,Buurt     ,BU03630701,135,14.81,48.15,22.22,11.11,59.26,40.74,18.52,7.41,37.04,51.85,524.0,40.8,38.6,24.6
61,Leidsebuurt Noordoost,Buurt     ,BU03630702,1010,20.3,52.97,15.35,6.93,56.93,38.61,18.32,10.89,26.73,54.46,512.0,41.8,35.5,28.9
62,Leidsebuurt Zuidoost,Buurt     ,BU03630703,290,10.34,37.93,25.86,13.79,44.83,27.59,17.24,6.9,24.14,51.72,592.0,41.9,31.3,39.1
63,Weteringbuurt,Buurt     ,BU03630704,2425,10.31,44.12,22.47,11.55,44.33,32.37,11.96,4.12,14.43,65.15,560.0,58.5,29.3,39.3
64,Den Texbuurt,Buurt     ,BU03630705,1080,10.65,34.72,25.46,17.59,42.13,31.02,11.11,3.7,22.22,56.48,779.0,48.9,29.0,40.3
65,Utrechtsebuurt Zuid,Buurt     ,BU03630706,1170,10.68,35.04,29.06,17.52,39.32,28.63,10.68,8.55,29.91,51.28,635.0,48.3,29.7,38.1
66,Frederikspleinbuurt,Buurt     ,BU03630707,925,9.19,35.68,29.73,15.14,43.24,30.81,12.43,6.49,15.14,61.62,725.0,55.2,26.5,43.8
67,Weesperbuurt/Plantage,Wijk      ,WK036308  ,7480,13.24,36.7,25.94,15.64,43.92,27.54,16.38,10.56,20.99,56.42,541.0,45.1,33.8,34.4
68,Weesperbuurt,Buurt     ,BU03630800,3105,15.46,36.07,23.19,18.84,44.12,28.66,15.46,7.09,24.48,55.72,528.0,46.0,36.5,31.9
69,Sarphatistrook,Buurt     ,BU03630801,2170,11.75,41.24,28.8,9.91,48.85,26.73,22.12,15.67,19.82,55.76,513.0,43.8,33.7,33.1
70,de Plantage,Buurt     ,BU03630803,1805,12.47,30.47,28.25,18.56,39.06,26.59,12.47,9.42,18.28,58.73,597.0,45.8,30.3,39.3
71,Alexanderplein e.o.,Buurt     ,BU03630804,395,8.86,45.57,21.52,8.86,37.97,26.58,11.39,10.13,17.72,58.23,523.0,41.5,28.1,37.9
72,Oostelijke Eilanden/Kadijken,Wijk      ,WK036309  ,13690,11.94,33.16,28.82,15.45,47.04,21.0,26.04,13.95,22.13,48.65,436.0,33.2,39.3,25.8
73,Marine-Etablissement,Buurt     ,BU03630900,75,0.0,40.0,40.0,13.33,33.33,13.33,20.0,0.0,13.33,80.0,,,,
74,Kattenburg,Buurt     ,BU03630901,1725,20.58,27.54,21.45,20.87,42.32,18.84,23.48,15.65,27.25,37.1,408.0,24.9,51.1,15.9
75,Wittenburg,Buurt     ,BU03630902,2560,8.4,34.96,33.59,14.45,54.1,18.75,35.35,22.66,25.78,40.23,404.0,30.9,37.6,22.4
76,Oostenburg,Buurt     ,BU03630903,1730,10.12,35.84,29.77,13.29,53.47,19.94,33.53,13.29,18.5,53.76,423.0,32.9,40.0,25.1
77,Czaar Peterbuurt,Buurt     ,BU03630904,2395,11.06,46.56,21.71,10.23,52.61,22.76,29.85,12.11,22.13,50.1,349.0,32.0,38.9,26.0
78,Het Funen,Buurt     ,BU03630905,1340,14.18,25.0,30.97,9.7,46.64,25.0,21.64,8.96,17.16,48.51,602.0,41.4,30.5,42.3
79,Kazernebuurt,Buurt     ,BU03630907,955,13.61,30.37,29.32,20.94,40.84,19.9,20.94,12.57,15.71,59.69,461.0,34.6,39.0,24.1
80,Kadijken,Buurt     ,BU03630908,2905,10.67,27.19,33.22,20.14,38.38,22.72,15.66,9.64,23.75,54.73,492.0,36.8,37.4,28.8
81,Westelijk Havengebied,Wijk      ,WK036310  ,105,14.29,38.1,23.81,14.29,47.62,23.81,23.81,,,,,25.6,,
82,Coenhaven/Mercuriushaven,Buurt     ,BU03631000,25,20.0,40.0,20.0,0.0,40.0,40.0,0.0,,,,,,,
83,Alfa-driehoek,Buurt     ,BU03631001,0,,,inf,,inf,,inf,,,,,,,
84,Petroleumhaven,Buurt     ,BU03631002,0,,,,,,,,,,,,,,
85,Westhaven Noord,Buurt     ,BU03631003,40,12.5,37.5,12.5,25.0,25.0,0.0,25.0,,,,,,,
86,Vervoerscentrum,Buurt     ,BU03631004,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
87,Amerikahaven,Buurt     ,BU03631005,15,0.0,0.0,66.67,33.33,33.33,33.33,0.0,,,,,,,
88,Afrikahaven,Buurt     ,BU03631006,10,50.0,0.0,50.0,50.0,0.0,0.0,0.0,,,,,,,
89,Westhaven Zuid,Buurt     ,BU03631007,15,0.0,66.67,0.0,0.0,66.67,33.33,33.33,,,,,,,
90,Bedrijventerrein Sloterdijk,Wijk      ,WK036311  ,835,43.11,49.1,5.39,0.6,75.45,41.92,33.53,17.96,49.1,31.14,143.0,23.4,52.3,9.3
91,Sloterdijk II,Buurt     ,BU03631100,15,33.33,0.0,66.67,0.0,66.67,33.33,33.33,,,,,,,
92,Sloterdijk III Oost,Buurt     ,BU03631102,0,,,,,,,,,,,,,,
93,Sloterdijk III West,Buurt     ,BU03631103,95,42.11,31.58,15.79,0.0,73.68,26.32,47.37,,,,,,,
94,De Heining,Buurt     ,BU03631104,30,0.0,16.67,33.33,16.67,16.67,16.67,0.0,,,,,,,
95,Teleport,Buurt     ,BU03631105,695,46.04,53.24,1.44,0.0,79.86,46.04,33.81,10.07,53.24,33.09,133.0,24.7,48.8,9.3
96,Bretten Oost,Buurt     ,BU03631107,0,,,,,,,,,,,,,,
97,Bretten West,Buurt     ,BU03631109,0,,,,,,,,,,,,,,
98,Houthavens,Wijk      ,WK036312  ,2950,5.59,40.17,27.29,8.31,35.76,22.71,13.05,6.1,15.59,69.49,,53.6,20.3,52.4
99,Houthavens West,Buurt     ,BU03631200,2280,5.26,44.3,23.46,5.26,35.31,21.93,13.38,5.26,14.91,73.25,,57.4,16.9,57.8
100,Houthavens Oost,Buurt     ,BU03631201,670,5.97,25.37,39.55,19.4,36.57,25.37,11.19,8.96,19.4,55.22,636.0,40.9,30.5,36.3
101,Spaarndammer- en Zeeheldenbuurt,Wijk      ,WK036313  ,10780,8.12,39.52,26.76,12.8,51.39,19.11,32.28,20.69,22.91,38.4,389.0,29.5,40.7,21.4
102,Zeeheldenbuurt,Buurt     ,BU03631300,2055,9.0,39.17,25.3,11.19,54.99,20.19,34.79,16.06,19.95,44.28,413.0,31.5,37.5,23.2
103,Spaarndammerbuurt Noordoost,Buurt     ,BU03631301,2730,8.61,35.16,31.87,12.64,53.66,17.03,36.63,20.15,28.21,35.16,387.0,26.8,45.6,18.2
104,Spaarndammerbuurt Zuidoost,Buurt     ,BU03631302,1025,7.32,39.02,28.29,13.66,46.83,20.49,26.34,,,,368.0,30.5,39.8,23.4
105,Spaarndammerbuurt Zuidwest,Buurt     ,BU03631303,1685,6.23,38.87,21.36,21.66,46.59,22.26,24.33,17.21,14.24,48.07,360.0,31.7,38.1,24.8
106,Spaarndammerbuurt Midden,Buurt     ,BU03631304,1300,8.46,44.23,25.38,8.85,48.85,18.85,30.0,17.69,36.15,28.46,375.0,29.5,40.1,21.2
107,Spaarndammerbuurt Noordwest,Buurt     ,BU03631305,1980,7.58,43.94,26.26,9.6,52.78,17.42,35.35,31.31,16.16,35.86,415.0,28.9,39.5,20.4
108,Westergasfabriek,Buurt     ,BU03631306,0,,,,,,,,,,,,,,
109,Overbraker Binnenpolder,Buurt     ,BU03631307,10,50.0,0.0,50.0,0.0,50.0,50.0,0.0,,,,,,,
110,Staatsliedenbuurt,Wijk      ,WK036314  ,13105,8.89,42.85,27.13,10.0,50.17,24.34,25.83,13.89,20.68,50.52,389.0,33.4,37.2,27.2
111,De Wittenbuurt Noord,Buurt     ,BU03631400,1365,8.79,40.29,26.74,11.72,49.08,23.44,25.64,8.79,27.84,47.62,416.0,34.7,37.6,28.5
112,De Wittenbuurt Zuid,Buurt     ,BU03631401,885,9.04,27.68,34.46,18.08,49.15,20.9,28.25,24.86,27.12,31.64,403.0,26.9,47.2,16.0
113,Staatsliedenbuurt Noordoost,Buurt     ,BU03631402,1215,7.41,30.45,28.4,24.69,53.5,18.93,34.57,23.05,20.58,37.86,353.0,27.3,45.0,17.1
114,Fannius Scholtenbuurt,Buurt     ,BU03631403,3690,8.67,46.07,26.83,7.32,52.71,26.15,26.56,13.01,20.6,53.12,352.0,32.9,37.7,26.0
115,Westerstaatsman,Buurt     ,BU03631404,2875,9.39,52.17,23.65,4.35,51.48,27.83,23.65,11.48,18.43,56.35,358.0,34.2,34.3,28.8
116,Buyskade e.o.,Buurt     ,BU03631405,3080,9.42,40.42,28.25,9.58,45.13,22.56,22.56,13.96,16.56,53.25,478.0,36.9,33.1,33.8
117,Centrale Markt,Wijk      ,WK036315  ,2465,12.78,30.63,33.06,11.36,46.04,20.28,25.76,21.1,19.07,42.6,448.0,32.1,37.3,28.3
118,Ecowijk,Buurt     ,BU03631500,1315,15.21,22.05,39.16,9.13,42.59,19.39,23.19,10.65,24.33,47.15,507.0,31.8,37.4,29.7
119,Markthallen,Buurt     ,BU03631501,15,0.0,33.33,0.0,33.33,33.33,33.33,0.0,,,,,,,
120,Bedrijvencentrum Westerkwartier,Buurt     ,BU03631502,70,7.14,21.43,50.0,0.0,21.43,14.29,7.14,,,,,,,
121,Marcanti,Buurt     ,BU03631503,1070,10.28,41.12,25.23,14.02,52.8,21.96,30.84,20.56,15.89,47.66,390.0,32.8,36.8,26.7
122,Frederik Hendrikbuurt,Wijk      ,WK036316  ,8280,7.91,46.07,24.52,11.96,47.28,25.18,22.1,16.06,18.72,52.05,401.0,36.6,34.7,29.5
123,Frederik Hendrikbuurt Noord,Buurt     ,BU03631600,3855,8.82,46.69,22.96,11.41,46.56,26.85,19.71,12.97,17.9,55.51,402.0,34.9,35.6,28.2
124,Frederik Hendrikbuurt Zuidoost,Buurt     ,BU03631601,3290,6.84,51.22,23.25,10.03,49.39,24.62,24.77,21.28,17.63,49.24,374.0,37.8,33.6,30.8
125,Frederik Hendrikbuurt Zuidwest,Buurt     ,BU03631602,1135,7.93,29.52,33.92,18.94,43.17,20.7,22.47,10.57,23.79,50.22,475.0,39.6,34.7,30.8
126,Da Costabuurt,Wijk      ,WK036317  ,4660,8.69,45.06,23.61,12.77,43.99,28.11,15.88,6.22,21.89,58.58,473.0,40.1,31.4,33.2
127,Da Costabuurt Noord,Buurt     ,BU03631700,4660,8.58,45.06,23.61,12.77,43.99,28.11,15.88,6.22,21.89,58.58,473.0,40.1,31.4,33.2
128,Kinkerbuurt,Wijk      ,WK036318  ,6670,9.52,48.8,22.49,8.4,48.35,23.76,24.59,16.64,24.14,46.18,416.0,37.3,33.8,30.4
129,Bellamybuurt Noord,Buurt     ,BU03631800,2710,9.04,45.2,25.65,9.23,47.79,20.48,27.31,20.3,26.2,38.75,450.0,34.2,36.7,28.1
130,Bellamybuurt Zuid,Buurt     ,BU03631801,3955,9.86,51.33,20.35,7.84,48.8,25.92,22.88,13.91,22.5,51.58,397.0,39.3,32.1,31.8
131,Van Lennepbuurt,Wijk      ,WK036319  ,7085,9.53,41.99,25.05,14.18,54.9,23.36,31.55,17.36,18.91,48.84,378.0,31.8,41.8,23.3
132,Da Costabuurt Zuid,Buurt     ,BU03631900,2275,10.99,52.75,20.0,7.47,49.23,30.55,18.68,9.23,22.86,56.7,409.0,37.8,33.8,30.6
133,Borgerbuurt,Buurt     ,BU03631901,2900,9.48,30.52,28.1,22.24,60.34,17.41,42.93,23.45,16.9,40.0,360.0,25.8,50.3,15.8
134,Lootsbuurt,Buurt     ,BU03631902,1910,8.12,46.6,25.92,9.95,53.14,23.56,29.58,14.14,17.8,55.5,368.0,33.8,38.3,26.2
135,Helmersbuurt,Wijk      ,WK036320  ,7360,10.39,41.71,25.27,11.48,41.37,27.58,13.79,9.51,18.34,58.15,540.0,44.3,31.6,35.5
136,Helmersbuurt Oost,Buurt     ,BU03632000,2595,11.95,44.51,21.77,9.83,41.23,29.87,11.37,5.78,17.73,60.12,625.0,46.9,29.0,38.4
137,WG-terrein,Buurt     ,BU03632001,2470,9.31,33.0,30.16,17.61,41.9,24.49,17.41,12.96,19.43,55.87,521.0,38.9,36.8,30.3
138,Cremerbuurt Oost,Buurt     ,BU03632002,2290,10.04,48.03,23.8,6.77,41.27,28.38,12.88,9.17,17.47,59.83,475.0,47.1,28.8,38.0
139,Overtoomse Sluis,Wijk      ,WK036321  ,8010,9.05,49.44,21.79,8.99,43.63,29.28,14.36,7.37,17.6,61.42,476.0,43.7,29.6,36.9
140,Cremerbuurt West,Buurt     ,BU03632100,5755,8.51,52.13,21.46,7.56,44.74,30.06,14.68,7.99,17.38,62.03,446.0,42.1,29.2,36.5
141,Vondelparkbuurt West,Buurt     ,BU03632101,2250,10.44,42.89,22.67,12.44,40.89,27.33,13.56,5.78,17.78,60.0,564.0,47.7,30.6,38.1
142,Vondelbuurt,Wijk      ,WK036322  ,1770,11.3,29.38,26.84,19.49,45.76,29.66,16.1,7.34,14.69,55.93,969.0,59.2,33.2,37.8
143,Vondelparkbuurt Oost,Buurt     ,BU03632200,850,11.18,34.71,26.47,15.88,48.82,33.53,15.29,5.88,14.12,61.18,1081.0,67.0,31.1,42.0
